index,food_name,WWEIA Category description,WWEIA Category number,Energy (kcal),Is_vegeterian,Protein (g),Carbohydrate (g),"Sugars, total
(g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Retinol (mcg),"Vitamin A, RAE (mcg_RAE)","Carotene, alpha (mcg)","Carotene, beta (mcg)","Cryptoxanthin, beta (mcg)",Lycopene (mcg),Lutein + zeaxanthin (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Folate, food (mcg)","Folate, DFE (mcg_DFE)","Folate, total (mcg)","Choline, total (mg)",Vitamin B-12 (mcg),"Vitamin B-12, added
(mcg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added
(mg)",Vitamin K (phylloquinone) (mcg),Calcium (mg),Phosphorus (mg),Magnesium (mg),"Iron
(mg)","Zinc
(mg)",Copper (mg),Selenium (mcg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),"Water
(g)",is_breakfast,is_lunch_dinner,Cost_CAD,carbon_footprint_gCO2,water_footprint_liters,is_lunch,,Protein (g)
108,Cheeseburger,Burgers,3702,288.1538462,0,17.48,19.34692308,3.087692308,1.184615385,15.24769231,6.542153846,5.438923077,1.109615385,51.30769231,36.69230769,38.07692308,0.076923077,15.84615385,1.153846154,115.1538462,14.69230769,0.211538462,0.232076923,4.151307692,0.263384615,14.92307692,27.53846154,53,42.69230769,44.45384615,1.504615385,0,0.361538462,0.569230769,0.210769231,0,3.538461538,183,205.9230769,26.15384615,2.453846154,3.073846154,0.093692308,23.63846154,220.0769231,457.7692308,0,0,0,45.63692308,0,1,6,889.4615386,586.3076924,,,17.48
109,Cheeseburger slider,Burgers,3702,297.5,0,17.12,21.46,3.42,0.75,15.35,6.608,5.3425,1.178,49.5,38.5,39.5,0,11.5,1,0,5.5,0.2415,0.254,4.0615,0.228,22,28.5,65.5,50,41.9,1.465,0,0.5,0.6,0.215,0,3.4,197.5,203,22.5,2.54,2.87,0.083,23.95,206,468,0,0,0,43.79,0,1,6,917.5,605,,,17.12
110,Chicken and vegetable entree with noodles,Poultry mixed dishes,3004,85,0,7.58,9.78,2.27,1.6,1.89,0.491,0.645,0.36,23,3,61,197,594,0,612,310,0.1,0.128,2.501,0.135,10,22,39,32,24,0.08,0,13.8,0,0.32,0,12.5,21,91,18,0.64,0.63,0.099,10.8,245,283,0,0,0,79.56,0,1,6,620,350,,,7.58
111,Chicken and vegetable entree with noodles and cream sauce,Poultry mixed dishes,3004,124,0,8.48,10.73,1.58,0.9,5.18,2.019,1.539,0.73,39,29,31,0,22,0,0,154,0.129,0.151,2.348,0.107,24,17,58,41,28.6,0.16,0,15.7,0.1,0.29,0,20.7,55,114,19,0.77,0.77,0.065,14.2,165,379,0,0,0,74.17,0,1,6,893,506,,,8.48
112,Chicken and vegetable entree with rice,Poultry mixed dishes,3004,171,0,10.45,19.65,6.42,0.7,5.57,1.011,2.284,1.69,37,3,29,99,263,0,214,57,0.092,0.084,3.165,0.168,18,9,40,27,26.3,0.12,0,4.4,0,0.58,0,6.3,18,111,18,0.95,0.81,0.069,10.9,178,359,0,0,0,63.01,0,1,6,1222,694,,,10.45
113,Chicken and vegetables au gratin with rice,Poultry mixed dishes,3004,120,0,10.67,7.24,0.88,0.8,5.41,2.78,1.437,0.354,35,40,90,0,599,2,0,1273,0.067,0.14,2.988,0.153,7,23,36,31,26.4,0.21,0,6.9,0,0.52,0,82.5,95,136,29,0.57,0.77,0.063,10.6,213,499,0,0,0,74.89,0,1,6,865,490,,,10.67
114,Chicken cornbread,Poultry mixed dishes,3004,167,0,13.78,9.38,0.24,0.4,8.21,1.911,3.57,1.907,114,69,73,6,37,2,0,232,0.084,0.177,3.574,0.128,13,14,36,28,73.1,0.29,0,0,0.6,0.78,0,4.4,17,138,15,1.04,0.94,0.04,16.1,152,458,0,0,0,67.27,0,1,6,1194,678,,,13.78
115,Chicken curry,Poultry mixed dishes,3004,107,0,6.48,6.54,2.56,1.4,6.48,1.557,2.422,1.906,22,3,48,144,469,1,4521,95,0.048,0.083,2.139,0.151,0,16,16,16,22.4,0.08,0,8.9,0,1.44,0,8.7,20,78,18,0.71,0.52,0.086,5.2,280,376,0,0,0,79,0,1,6,774,438,,,6.48
116,Chicken curry with rice,Poultry mixed dishes,3004,116,0,4.96,15.12,1.56,1,4,0.965,1.488,1.174,13,2,29,86,281,1,2713,57,0.094,0.055,1.87,0.127,22,11,48,33,14.3,0.05,0,5.4,0,0.88,0,5.2,16,64,15,0.9,0.51,0.079,6.1,182,324,0,0,0,74.61,0,1,6,837,474,,,4.96
117,Chicken deli sandwich or sub,Deli and cured meat sandwiches,3740,192,0,14.31,22.575,2.865,1,4.945,2.0705,1.2315,1.1015,32.5,24,25,0,7,0.5,0,20,0.2395,0.168,6.4555,0.264,36.5,15,77,51.5,29.75,0.205,0,0,0.4,0.31,0,0.3,174,225,26.5,1.645,0.895,0.0645,18.2,239.5,785,0,0,0,55.19,0,1,4,1369,778,,,14.31
119,Chicken fillet biscuit,Chicken fillet sandwiches,3704,320,0,10.78,26.41,1.98,2,19.09,7.622,4.387,5.423,20,10,12,0,5,4,0,23,0.261,0.165,4.729,0.204,27,24,70,51,24.7,0.1,0,0.3,0.1,1.76,0,17.1,51,311,22,1.64,0.54,0.08,15.4,205,775,0,0,0,40.99,0,1,4,2265,1290,,,10.78
120,Chicken fillet sandwich,Chicken fillet sandwiches,3704,255.4666667,0,16.55333333,23.232,2.764,1.766666667,10.374,2.748066667,2.885533333,3.609133333,37.86666667,16.86666667,17.8,0,6.933333333,2.466666667,0,25.06666667,0.247866667,0.189133333,5.857133333,0.3428,16.53333333,25.73333333,53.93333333,42.46666667,39.68666667,0.230666667,0,0.486666667,0.24,1.293333333,0,10.74666667,117.2,195.3333333,31,1.716666667,0.950666667,0.093666667,24.65333333,236.5333333,504.8,0,0,0,47.59533333,0,1,4,1813.266667,1031.866667,,,16.55333333
121,Chicken fillet wrap sandwich,Chicken fillet sandwiches,3704,275.5,0,16.755,20.86,1.735,1.6,13.55,4.72,3.639,3.592,45,36.5,38,0,12,2.5,0,17,0.227,0.2115,5.621,0.3385,28.5,14,62,42,36.9,0.285,0,0.15,0.5,1.195,0,11.5,175,251.5,26,1.595,0.955,0.072,23.05,224,634,0,0,0,46.16,0,1,4,1953.5,1112,,,16.755
122,Chicken fricassee,Poultry mixed dishes,3004,172,0,12.13,7.17,1.26,1.2,10.65,1.805,4.718,3.23,44,3,20,2,177,45,1082,33,0.077,0.108,3.359,0.235,0,13,13,13,36.3,0.17,0,16.9,0.1,1.97,0,9.2,18,129,20,0.77,0.9,0.085,10.4,317,753,0,0,0,67.49,0,1,6,1229,698,,,12.13
123,Chicken kiev,Poultry mixed dishes,3004,280,0,21.31,5.45,0.06,0.1,19.21,7.418,7.067,2.11,106,81,83,0,16,1,0,0,0.094,0.206,7.106,0.237,9,10,26,19,73.1,0.28,0,0,0.1,0.43,0,0.7,43,210,24,0.66,0.84,0.058,26.4,257,644,0,0,0,51.6,0,1,6,1985,1130,,,21.31
125,Chicken or turkey,Poultry mixed dishes,3004,134.2195122,0,6.19804878,13.58390244,1.091219512,1.156097561,6.249756098,1.402243902,2.441853659,1.80304878,21.36585366,13.97560976,67.41463415,171.902439,547.902439,6.43902439,555.7804878,220.5853659,0.102073171,0.091073171,2.010170732,0.11602439,16.95121951,13.31707317,42.09756098,30.34146341,19.4,0.098292683,0,3.812195122,0.092682927,0.889268293,0,15.87073171,37.53658537,86.46341463,16.85365854,0.736341463,0.583170732,0.072536585,8.673170732,167.5609756,340,0,0,0,72.62268293,0,1,6,964.5365854,546.8780488,,,6.19804878
126,Chicken or turkey a la king with vegetables excluding carrorts,Poultry mixed dishes,3004,181,0,9.57,6.31,2.46,0.5,13.34,4.228,5.152,2.501,77,101,109,7,94,1,0,44,0.082,0.174,2.496,0.104,4,10,17,14,47.9,0.24,0,2,0.7,1.04,0,7.9,60,132,14,0.7,0.79,0.068,10.9,172,482,0,0,0,69.16,0,1,6,1292,734,,,9.57
127,Chicken or turkey a la king with vegetables including carrots,Poultry mixed dishes,3004,187,0,9.41,6.76,2.57,0.6,13.8,4.492,5.254,2.516,79,114,246,556,1307,1,0,144,0.082,0.167,2.364,0.122,4,9,16,14,46.7,0.24,0,2.6,1,1.2,0,10,63,127,14,0.63,0.72,0.033,10.1,187,428,0,0,0,68.56,0,1,6,1334,758,,,9.41
128,Chicken or turkey and noodles,Poultry mixed dishes,3004,148,0,7.73,15.47,0.25,0.7,6.14,1.042,2.42,1.929,39,5,5,0,1,0,0,23,0.191,0.117,2.679,0.074,47,6,86,53,28,0.12,0,0,0.1,0.88,0,3.7,11,91,17,1.04,0.7,0.074,19.1,75,353,0,0,0,69.44,0,1,6,1061,602,,,7.73
129,Chicken or turkey and noodles with cheese sauce,Poultry mixed dishes,3004,146,0,8.95,13.56,0.24,0.6,6.16,2.724,2.018,0.797,41,27,28,0,8,0,0,18,0.16,0.16,2.135,0.07,37,7,70,44,23.2,0.2,0,0.2,0.3,0.17,0,0.3,97,136,19,0.9,0.9,0.063,16.7,99,341,0,0,0,69.88,0,1,6,1047,594,,,8.95
130,Chicken or turkey and noodles with cream or white sauce,Poultry mixed dishes,3004,140,0,7.39,15.24,1.58,0.6,5.51,1.903,1.667,1.012,38,44,45,0,13,0,0,19,0.182,0.141,2.302,0.112,40,5,73,46,27.8,0.22,0,0,0.4,0.48,0,2,45,104,18,0.94,0.7,0.062,16.2,107,343,0,0,0,70.55,0,1,6,1005,570,,,7.39
131,Chicken or turkey and noodles with gravy,Poultry mixed dishes,3004,140,0,6.99,15.23,0.31,0.7,5.67,1.045,2.219,1.612,35,5,5,0,1,0,0,21,0.174,0.12,2.434,0.073,41,6,76,47,25.7,0.11,0,0,0.1,0.7,0,2.9,12,86,16,0.94,0.64,0.069,16.8,79,350,0,0,0,70.92,0,1,6,1005,570,,,6.99
132,Chicken or turkey and noodles with mushroom sauce,Poultry mixed dishes,3004,136,0,6.92,14.86,0.8,0.8,5.46,1.077,1.82,1.935,32,10,10,0,1,0,0,20,0.162,0.112,2.257,0.07,38,5,70,43,27.1,0.15,0,0,0.2,0.62,0,7.5,24,90,16,0.89,0.63,0.064,16.3,94,337,0,0,0,71.58,0,1,6,977,554,,,6.92
133,Chicken or turkey and noodles with tomato-based sauce,Poultry mixed dishes,3004,137,0,7.12,15.17,1.36,1.1,5.44,0.92,2.121,1.718,34,5,12,0,84,1,4463,28,0.174,0.123,2.65,0.096,41,8,78,49,27.6,0.11,0,2.2,0.1,1.23,0,4.1,13,87,20,1.22,0.68,0.1,16.8,161,343,0,0,0,70.91,0,1,6,984,558,,,7.12
134,Chicken or turkey and potatoes with gravy,Poultry mixed dishes,3004,122,0,7.47,9.04,0.57,0.9,6.35,1.014,2.637,2.065,26,2,2,0,1,0,0,4,0.068,0.088,2.366,0.168,3,7,11,10,20.4,0.09,0,6.1,0,1.02,0,5.5,11,81,15,0.66,0.53,0.067,6.2,239,428,0,0,0,75.64,0,1,6,879,498,,,7.47
135,Chicken or turkey and rice,Poultry mixed dishes,3004,149,0,6.46,16.97,0.03,0.2,5.84,0.936,2.457,1.95,20,2,2,0,0,0,0,0,0.111,0.041,2.262,0.101,33,3,60,37,13.3,0.07,0,0,0,0.96,0,4.5,10,69,12,0.86,0.59,0.055,8.8,71,353,0,0,0,69.56,0,1,6,1068,606,,,6.46
136,Chicken or turkey and rice with cream sauce,Poultry mixed dishes,3004,136,0,8.13,12.78,1.98,0.5,5.86,1.449,2.534,1.369,27,54,59,0,60,0,0,35,0.104,0.097,2.434,0.103,19,6,39,26,23.3,0.22,0,1.2,0.5,0.54,0,14.4,48,106,15,0.83,0.7,0.068,8.2,147,380,0,0,0,71.92,0,1,6,977,554,,,8.13
137,Chicken or turkey and rice with mushroom sauce,Poultry mixed dishes,3004,135,0,5.67,15.43,0.59,0.4,5.48,1.013,1.982,2.052,16,7,7,0,0,0,0,1,0.094,0.049,1.851,0.087,26,3,47,29,14.6,0.1,0,0,0.2,0.75,0,8.3,22,69,11,0.71,0.52,0.048,7.8,87,346,0,0,0,72.25,0,1,6,970,550,,,5.67
138,Chicken or turkey and rice with tomato-based sauce,Poultry mixed dishes,3004,142,0,5.72,15.66,1.09,0.6,6.18,0.955,2.579,2.132,17,1,8,0,78,1,4163,7,0.099,0.053,2.172,0.113,27,5,52,33,14,0.06,0,2.1,0,1.46,0,5.9,12,65,14,1,0.55,0.079,7.5,148,349,0,0,0,71.14,0,1,6,1019,578,,,5.72
139,Chicken or turkey and vegetables excluding carrots,Poultry mixed dishes,3004,121.5,0,8.2575,5.85,1.245,1.05,7.615,1.825,3.0305,2.083,31,9.75,17.75,11.25,75.5,19.75,1587,191.75,0.037,0.10475,2.245,0.10225,0.25,13.25,13.75,13.5,23.5,0.12,0,2.075,0.1,1.09,0,10.75,44.5,101.75,16.75,0.515,0.68,0.0505,6.65,181.5,369.5,0,0,0,76.9875,0,1,6,875.5,496,,,8.2575
140,Chicken or turkey and vegetables including carrots,Poultry mixed dishes,3004,115.5,0,8.455,3.9125,1.3725,1.225,7.565,1.82475,2.9845,2.0525,32,10,160.5,614.75,1479.5,0.5,1587.5,294.5,0.041,0.10175,2.18575,0.11475,0.25,15,15.25,16,22.525,0.1225,0,7.825,0.1,1.44,0,21.275,48.75,99.75,13.75,0.53,0.66,0.05325,6.875,176.75,367.75,0,0,0,78.7225,0,1,6,833.5,472,,,8.455
141,Chicken or turkey cacciatore,Poultry mixed dishes,3004,174,0,13.19,6.92,1.6,1.1,10.62,2.573,4.743,2.364,58,8,18,0,121,0,4108,25,0.231,0.173,4.319,0.193,7,10,21,16,49.8,0.24,0,5.4,0.1,1.15,0,3.8,42,138,21,1.02,0.84,0.118,16.2,290,664,0,0,0,66.71,0,1,6,1243,706,,,13.19
142,Chicken or turkey caesar garden salad,Poultry mixed dishes,3004,63,0,8.52,2.99,0.99,1,1.94,0.752,0.568,0.237,23,9,182,18,2069,0,435,1366,0.064,0.096,2.589,0.14,0,35,35,35,22.6,0.11,0,8.8,0,0.49,0,88.2,56,98,24,0.42,0.55,0.048,6.9,290,265,0,0,0,85.38,0,1,6,466,262,,,8.52
143,Chicken or turkey cake,Poultry mixed dishes,3004,262,0,20.83,2.59,0.49,0.2,18.75,3.406,6.254,7.653,125,25,25,0,1,2,0,51,0.079,0.182,5.58,0.192,1,13,15,15,79.6,0.37,0,0.3,0.3,1.7,0,22.9,22,196,20,0.86,1.33,0.058,21.1,228,575,0,0,0,56.25,0,1,6,1859,1058,,,20.83
146,Chicken or turkey cordon bleu,Poultry mixed dishes,3004,210,0,22.64,9.29,0.63,0.6,9.17,3.328,2.909,1.479,85,46,52,0,75,1,0,97,0.182,0.193,7.115,0.247,9,12,27,23,57.5,0.39,0,1.8,0.2,0.68,0,24.6,97,244,25,1.13,1.23,0.065,23.4,255,589,0,0,0,57.05,0,1,6,1495,850,,,22.64
147,Chicken or turkey creole,Poultry mixed dishes,3004,103,0,13.8,2.99,1.83,1.1,4.22,0.931,1.754,0.881,55,4,16,2,138,1,2801,65,0.214,0.126,4.175,0.196,0,10,10,11,36.9,0.18,0,12.1,0,0.83,0,4.1,24,131,19,0.72,0.89,0.073,12.2,276,364,0,0,0,77.77,0,1,6,746,422,,,13.8
148,Chicken or turkey divan,Poultry mixed dishes,3004,140,0,15.51,4.01,0.95,1.3,7.26,2.636,2.546,0.984,71,46,69,8,264,1,0,481,0.066,0.168,3.449,0.168,1,30,31,31,46.5,0.27,0,16.9,0.3,0.96,0,38.8,97,181,19,0.71,1.2,0.047,14.4,206,295,0,0,0,71.95,0,1,6,1005,570,,,15.51
149,Chicken or turkey fricassee,Poultry mixed dishes,3004,168,0,16.61,2.026666667,0.483333333,0.266666667,10.43,2.2,5.747,1.368666667,68,5,7.333333333,1,30.66666667,1,480,29.33333333,0.080666667,0.134333333,4.721666667,0.174666667,1.333333333,7,9.333333333,8.666666667,44.66666667,0.233333333,0,3.366666667,0.1,1.423333333,0,2.5,13.33333333,148.6666667,16.33333333,0.656666667,1.05,0.056666667,14.93333333,200,584.3333333,0,0,0,69.35,0,1,6,1201,682,,,16.61
150,Chicken or turkey garden salad,Poultry mixed dishes,3004,65,0,10.475,2.83,1.13,0.9,1.37,0.3235,0.5095,0.232,30,2,138,111,1582,1.5,115,909,0.0635,0.099,3.6685,0.169,0,29,29,30,27.25,0.095,0,8.25,0,0.38,0,60.15,25,103.5,21.5,0.365,0.465,0.05,8.65,276.5,138,0,0,0,84.67,0,1,6,480,270,,,10.475
151,Chicken or turkey garden salad with bacon and cheese,Poultry mixed dishes,3004,106,0,10.95,3,1.09,0.9,5.61,2.563,1.646,0.514,34,33,189,155,1792,1,165,975,0.078,0.129,2.952,0.156,0,30,30,31,25.5,0.21,0,6.3,0.1,0.46,0,64.4,94,135,23,0.37,0.84,0.046,10.4,269,228,0,0,0,79.3,0,1,6,767,434,,,10.95
152,Chicken or turkey garden salad with cheese,Poultry mixed dishes,3004,93,0,10.26,3.02,1.12,0.9,4.52,2.205,1.138,0.309,32,34,194,160,1841,1,169,1001,0.06,0.125,2.739,0.144,0,31,31,32,23.5,0.18,0,6.4,0.1,0.46,0,66.2,97,127,23,0.35,0.76,0.044,9,260,176,0,0,0,81.22,0,1,6,676,382,,,10.26
153,Chicken or turkey hash,Poultry mixed dishes,3004,110,0,9.57,8.27,0.94,1.3,4.1,0.742,1.6,1.451,30,1,8,0,87,0,0,99,0.041,0.117,3.368,0.302,0,22,22,22,25.3,0.26,0,4,0.1,0.66,0,12.8,24,96,22,0.67,0.89,0.067,9.2,334,259,0,0,0,76.72,0,1,6,795,450,,,9.57
154,Chicken or turkey parmigiana,Poultry mixed dishes,3004,174,0,16.25,8.3,1.68,0.8,8.34,2.621,2.595,1.759,73,44,50,0,75,2,4020,43,0.098,0.202,3.441,0.244,5,12,21,18,52.8,0.25,0,2,0.2,1.39,0,4.5,117,178,21,1.01,1.08,0.073,19.5,228,414,0,0,0,65.04,0,1,6,1243,706,,,16.25
155,Chicken or turkey salad,Poultry mixed dishes,3004,151.5555556,0,13.63444444,4.803333333,3.383333333,0.455555556,8.757777778,1.651555556,2.659222222,3.627555556,59.22222222,5.111111111,14.11111111,7.444444444,93.66666667,17.11111111,0.444444444,82.77777778,0.041777778,0.109333333,3.879888889,0.140444444,0,12.77777778,12.77777778,13.77777778,37.63333333,0.191111111,0,0.733333333,0,0.794444444,0,24.33333333,20.11111111,131.1111111,15.11111111,0.453333333,0.847777778,0.040444444,12.34444444,210,524.6666667,0,0,0,71.26111111,0,1,6,1085.888889,616.2222224,,,13.63444444
156,Chicken or turkey salad with egg,Poultry mixed dishes,3004,228,0,13.81,2.73,2.01,0.4,18.06,3.236,4.806,9.024,92,19,27,7,85,17,0,105,0.044,0.146,3.608,0.138,0,16,16,17,64,0.29,0,0.7,0.2,0.99,0,41.3,22,134,14,0.53,0.89,0.039,14.2,200,453,0,0,0,64.01,0,1,6,1621,922,,,13.81
157,Chicken or turkey salad with nuts and/or fruits,Poultry mixed dishes,3004,235,0,12.51,6.11,4.26,1,17.91,2.819,5.617,8.466,53,6,13,6,80,14,0,76,0.052,0.161,3.408,0.13,0,13,13,14,37.8,0.17,0,1,0,2.2,0,38.4,31,136,27,0.6,0.86,0.092,10.4,237,391,0,0,0,62.09,0,1,6,1670,950,,,12.51
158,Chicken or turkey shish kabob with vegetables,Poultry mixed dishes,3004,104,0,13.04,5.06,2.37,0.8,3.69,0.83,1.529,0.748,51,4,14,2,110,27,0,33,0.058,0.144,3.942,0.201,0,16,16,16,34.9,0.17,0,15,0,0.45,0,4.8,17,133,18,0.5,0.88,0.094,12.8,250,346,0,0,0,77.05,0,1,6,753,426,,,13.04
159,Chicken or turkey souffle,Poultry mixed dishes,3004,171,0,11.72,5.59,2.23,0.1,11.33,5.194,3.087,0.947,158,130,132,0,14,4,0,135,0.084,0.226,2.127,0.098,4,18,24,22,95.2,0.44,0,0,1.2,0.4,0,0.7,73,157,15,0.86,0.94,0.023,15.5,177,380,0,0,0,69.96,0,1,6,1222,694,,,11.72
160,Chicken or turkey tetrazzini,Poultry mixed dishes,3004,119,0,11.96,6.96,0.24,0.5,4.79,1.73,1.277,0.969,38,21,22,0,4,0,0,3,0.077,0.081,3.934,0.129,11,5,23,17,26.3,0.11,0,0,0.1,0.25,0,4.8,18,112,14,0.43,0.48,0.04,14,129,386,0,0,0,75.29,0,1,6,858,486,,,11.96
161,Chicken or turkey with cheese sauce,Poultry mixed dishes,3004,173,0,21.77,1.64,0.06,0,8.9,3.503,3.303,1.071,90,30,30,0,8,0,0,0,0.062,0.2,5.361,0.186,1,8,9,10,47.8,0.36,0,0.2,0.3,0.31,0,0.3,103,234,22,0.61,1.5,0.05,18.7,237,527,0,0,0,66.03,0,1,6,1236,702,,,21.77
162,Chicken or turkey with cream sauce,Poultry mixed dishes,3004,157,0,19.82,2.75,1.38,0,7.48,2.497,2.653,1.062,85,46,47,0,12,0,0,0,0.077,0.173,5.435,0.225,2,6,9,9,51.4,0.38,0,0,0.4,0.53,0,1.5,46,197,20,0.61,1.25,0.048,17.5,241,510,0,0,0,68.49,0,1,6,1124,638,,,19.82
163,Chicken or turkey with dumplings,Poultry mixed dishes,3004,144,0,15.69,8.04,0.45,0.3,5.55,1.422,2.245,1.058,61,9,9,0,0,0,0,2,0.115,0.148,4.666,0.143,9,6,22,16,37.9,0.23,0,0,0.1,0.34,0,1,50,157,17,0.99,0.97,0.052,14.5,176,488,0,0,0,69.17,0,1,6,1033,586,,,15.69
164,Chicken or turkey with mushroom sauce,Poultry mixed dishes,3004,136,0,19.29,1.84,0.57,0.1,5.7,1.418,2.176,1.239,79,12,12,0,0,0,0,1,0.055,0.144,5.379,0.18,0,6,6,7,49.5,0.28,0,0,0.1,0.39,0,3.9,25,181,18,0.55,1.18,0.049,17.5,223,521,0,0,0,71.79,0,1,6,977,554,,,19.29
165,Chicken or turkey with stuffing,Poultry mixed dishes,3004,172,0,20.04,11.74,1.27,0.5,4.88,1.212,2.083,0.752,77,6,6,0,0,0,0,11,0.14,0.187,6.092,0.193,13,19,40,33,47.7,0.25,0,0,0,0.34,0,0.2,25,184,22,1.09,1.25,0.082,23.8,229,454,0,0,0,61.95,0,1,6,1229,698,,,20.04
166,Chicken patty,Poultry mixed dishes,3004,175,0,10.68,16,1,1.4,8.1,1.956,3.474,1.702,42,6,9,5,15,35,0,203,0.087,0.131,3.777,0.2,5,21,29,26,46,0.17,0,3.5,0.1,0.34,0,2.2,23,139,25,0.66,0.81,0.081,11.8,317,376,0,0,0,63.5,0,1,6,1250,710,,,10.68
167,Chicken salad sandwich on wheat,Chicken fillet sandwiches,3704,245,0,13.08,17.06,3.13,2.1,13.83,2.395,3.467,7.015,44,5,11,5,62,12,0,76,0.16,0.145,4.255,0.147,5,28,36,34,35.3,0.14,0,0.5,0,0.77,0,31.9,67,143,29,1.36,1.04,0.091,17.6,201,469,0,0,0,54.32,0,1,4,1740,990,,,13.08
168,Chicken salad sandwich on white,Chicken fillet sandwiches,3704,246,0,12.42,18.32,3.18,1,13.7,2.429,3.488,7.116,44,5,11,5,61,12,0,69,0.197,0.154,4.214,0.124,29,17,66,46,33.1,0.14,0,0.5,0,0.73,0,30.2,83,125,19,1.43,0.88,0.069,16.2,177,473,0,0,0,53.91,0,1,4,1747,994,,,12.42
169,Chicken salad sandwich wrap,Chicken fillet sandwiches,3704,269,0,12.89,16.99,2.65,1.3,16.56,4.511,4.101,6.608,48,32,38,4,63,11,0,54,0.178,0.189,3.682,0.11,24,14,54,38,30,0.28,0,0.5,0.4,0.66,0,29.4,149,200,18,1.41,1,0.059,16.5,177,603,0,0,0,51.44,0,1,4,1908,1086,,,12.89
171,Chicken with gravy,Poultry mixed dishes,3004,129,0,18.88,1.58,0.09,0,5.21,1.291,2.193,0.775,80,6,6,0,0,0,0,0,0.056,0.143,5.38,0.18,0,6,6,7,47.3,0.25,0,0,0,0.32,0,0.2,13,171,17,0.54,1.14,0.05,16.8,207,526,0,0,0,72.98,0,1,6,928,526,,,18.88
172,Chicken with mole sauce,Poultry mixed dishes,3004,137,0,18.97,3.22,2.12,0.3,5.58,1.661,2.203,0.756,78,6,16,20,97,17,267,28,0.061,0.144,5.415,0.189,0,7,7,8,47.1,0.25,0,0.1,0,0.48,0,0.9,13,172,21,0.78,1.19,0.074,16.9,232,542,2,15,0,70.73,0,1,6,984,558,,,18.97
173,Chicken with noodles and cheese sauce,Poultry mixed dishes,3004,114,0,10.07,11.66,0.31,0.7,2.86,0.558,1.078,0.803,24,2,2,0,0,0,0,3,0.117,0.088,3.318,0.102,23,5,43,28,14.2,0.08,0,0,0,0.38,0,1.4,10,92,14,0.6,0.44,0.051,16.2,97,171,0,0,0,74.89,0,1,6,823,466,,,10.07
174,Chicken with rice and vegetable,Poultry mixed dishes,3004,111,0,9.81,10.99,1.86,0.8,3.03,0.607,0.923,1.128,26,1,5,7,38,0,0,64,0.084,0.111,3.824,0.151,14,12,36,27,23.4,0.09,0,2.3,0,0.34,0,7.4,15,104,16,0.58,0.51,0.092,11.4,189,410,0,0,0,74.86,0,1,6,802,454,,,9.81
177,Chili with Beans,"Bean, pea, legume dishes",3102,119,1,6.28,18.89,1.57,6,2.42,0.348,0.894,0.963,0,0,11,11,112,17,2096,18,0.127,0.059,0.537,0.158,0,105,105,105,24.8,0,0,6.4,0,1.09,0,7.2,31,105,36,1.98,0.76,0.194,2.7,351,316,0,0,0,70.66,0,1,4,382,248,,,6.28
179,Chili with Poultry Mixed,Poultry mixed dishes,3004,95,0,9.92,9.68,0.97,2.4,1.91,0.54,0.737,0.455,29,3,10,11,80,17,0,19,0.066,0.071,1.945,0.217,0,30,30,30,34.3,0.07,0,4.6,0,0.57,0,3,36,95,29,1.5,0.82,0.12,7.4,280,324,0,0,0,77.12,0,1,6,310,200,,,9.92
180,Chili hot dog,Meat mixed dishes,3002,202,0,10.01,7.09,1.35,1.7,14.98,6.028,6.446,0.585,36,2,7,6,58,9,1076,9,0.054,0.108,1.718,0.135,0,28,28,28,30.9,0.64,0,3.2,0.4,0.47,0,3.3,18,110,18,1.51,1.84,0.098,7.6,299,579,0,0,0,65.76,0,1,4,631,414,,,10.01
181,Chili hot dog sandwich,Frankfurter sandwiches,3703,218,0,10.1275,16.595,2.4,2.15,12.3675,4.79475,5.09475,0.845,27.5,1,5.5,4.5,44,6.5,824,17.25,0.15025,0.1405,2.408,0.13075,9.5,32.5,48.75,42,27.875,0.5075,0,2.575,0.3,0.425,0,3.525,52.75,115.75,23.75,1.925,1.66,0.111,12.05,265,550.25,0,0,0,58.75,0,1,4,679,446,,,10.1275
182,Chili with chicken,Poultry mixed dishes,3004,100,0,14.11,2.41,1.37,0.5,3.71,1.057,1.51,0.816,61,5,16,11,114,17,2137,21,0.055,0.115,4.033,0.375,0,5,5,5,48.5,0.16,0,5.9,0,0.53,0,3.2,10,122,18,0.67,0.76,0.068,14.5,218,359,0,0,0,78.88,0,1,6,725,410,,,14.11
183,Chili with chicken and beans,Poultry mixed dishes,3004,99,0,10.2,10.25,1.48,3,2.08,0.563,0.778,0.528,31,3,13,11,114,17,2137,20,0.086,0.087,2.335,0.249,0,49,49,49,36.1,0.08,0,6.3,0,0.48,0,5.1,18,114,26,1.49,0.78,0.137,7.7,282,341,0,0,0,76.15,0,1,6,718,406,,,10.2
